3604,3400,140
2904,2715,140
418,144,140
391,200,140
391,303,140
435,422,140
337,423,140
381,522,140
277,513,140
175,473,140
156,402,140
238,423,140
184,351,140
184,320,140
337,645,140
456,647,140
337,978,140
488,1104,140
356,1200,140
452,1200,140
492,1316,140
396,1424,140
424,1660,140
540,1628,140
308,1640,140
372,1788,140
248,1788,140
256,1848,140
348,1948,140
492,1960,140
456,2052,140
268,2308,140
268,2628,140
252,3304,140
381,3370,140
466,3514,140
240,3526,140
344,3528,140
292,3680,140
432,3688,140
274,3783,140
437,3819,140
358,3945,140
245,3969,140
473,3969,140
136,4240,140
592,4240,140
